店舗ID,店舗名,住所　,Googleマップ,カテゴリ１,カテゴリ２
,仕立屋 湘南台店,〒252-0804 神奈川県藤沢市湘南台２丁目１−１０,https://maps.app.goo.gl/Zk4ott5unXLxumhZ7,魚介料理,
,はま寿司 湘南台店,〒252-0804 神奈川県藤沢市湘南台３丁目15−１,https://maps.app.goo.gl/nZ8gx9CVsirGpLHT6,寿司,
,スシロー 湘南台駅前店,〒252-0804 神奈川県藤沢市湘南台２丁目５−１１ ウエストプラザ 2階,https://maps.app.goo.gl/DMVHxYAqvff3iv588,寿司,
,いっぱち竹寿し,〒252-0804 神奈川県藤沢市湘南台２丁目２−２−１,https://maps.app.goo.gl/WBZqLWEtxrje5xAK6,寿司,
,誠鮨,〒252-0804 神奈川県藤沢市湘南台１丁目３０−１０,https://maps.app.goo.gl/Wpx97BfyEqhRZZ6PA,寿司,
,Sushi Dining 旬魚,〒252-0804 神奈川県藤沢市湘南台１丁目９−２,https://maps.app.goo.gl/m3rHob3w82p45CAx6,寿司,
,日の出寿司,〒252-0804 神奈川県藤沢市湘南台２丁目１６−２,https://maps.app.goo.gl/oaahwywm35hP8v6HA,寿司,
,一喜（いっき） 湘南台店,〒252-0804 神奈川県藤沢市湘南台２丁目１２−１,https://maps.app.goo.gl/CXNwpohhamE2uaXT6,居酒屋,
,格安ビールと鉄鍋餃子 ３・６・５酒場湘南台店,〒252-0804 神奈川県藤沢市湘南台２丁目1−１０,https://maps.app.goo.gl/dcRy31iyRzzjBQy67,居酒屋,
,創作居酒屋 風 -kaze-,〒252-0804 神奈川県藤沢市湘南台２丁目３−５ 湘南台ビル １F,https://maps.app.goo.gl/ct1bvCUkNpxMFE8o9,居酒屋,
,ことぶき屋,〒252-0804 神奈川県藤沢市湘南台１丁目４−３,https://maps.app.goo.gl/79iEPXXSYHD1UP4c7,居酒屋,
,一炭 湘南台店,〒252-0804 神奈川県藤沢市湘南台２丁目３−７,https://maps.app.goo.gl/QJam9JxTbseoeNi7A,居酒屋,
,原価酒場 はかた商店 湘南台店,〒252-0804 神奈川県藤沢市湘南台１丁目12−１５ 志村ビル,https://maps.app.goo.gl/itEmfQSWG8kbNiCd8,居酒屋,
,焼天狗 湘南台店,〒252-0804 神奈川県藤沢市湘南台１丁目１５−２２ ガーデンパレス湘南台 1F,https://maps.app.goo.gl/jCDcSxzHKpBQiArFA,居酒屋,
,居酒屋 びしゃこ,〒252-0804 神奈川県藤沢市湘南台２丁目３−１４ 湘南台太平ビル,https://maps.app.goo.gl/7b58EvWdopGGrJfG8,居酒屋,
,鳥海山 湘南台店,〒252-0804 神奈川県藤沢市湘南台２丁目１−１,https://maps.app.goo.gl/MRUxCfCP8zq7KwcHA,居酒屋,
,八十の別家 湘南台,〒252-0804 神奈川県藤沢市湘南台２丁目１７−１５,https://maps.app.goo.gl/nPQs139Rn75wz1A77,居酒屋,
